%-Parking-data-(estimated-cars-per-bay)-for-bay-344
@relation parking

@attribute eventTime date ‘yyyy-MM-dd-HH:mm:ss’
@attribute occupiedSpaces numeric

@data
2013-06-07-13:00:00,4.01666666666667
2013-09-24-16:00:00,2.25
2013-10-02-16:00:00,1.81666666666667
2013-07-09-17:00:00,1
2013-05-31-12:00:00,2.05
2013-06-03-10:00:00,0.216666666666667
2014-01-22-15:00:00,1
2013-07-09-08:00:00,1
2013-06-26-09:00:00,2.06666666666667
2013-04-13-15:00:00,1.08333333333333
2013-04-26-17:00:00,1.41666666666667
2013-09-03-13:00:00,1.45
2014-02-12-09:00:00,1.53333333333333
2013-10-01-17:00:00,2.35
2013-07-12-18:00:00,1
2013-11-27-13:00:00,2
2013-05-21-17:00:00,3.2
2013-09-17-08:00:00,2.43333333333333
2013-12-04-12:00:00,1.13333333333333
2013-10-25-15:00:00,1.48333333333333
2013-07-30-14:00:00,2.06666666666667
2013-05-13-16:00:00,3
2014-01-13-13:00:00,0.9
2013-05-01-07:00:00,0.0333333333333333
2013-06-10-15:00:00,0.833333333333333
2013-04-10-10:00:00,2.08333333333333
2013-08-20-16:00:00,2.01666666666667
2013-08-07-18:00:00,3.3
2013-09-24-18:00:00,1.35
2013-09-20-15:00:00,1.88333333333333
2014-01-09-10:00:00,1
2013-07-17-08:00:00,1.46666666666667
2013-10-14-15:00:00,3.26666666666667
2013-06-03-08:00:00,1
2014-01-22-13:00:00,1.03333333333333
2013-09-16-08:00:00,0.583333333333333
2013-06-07-11:00:00,4
2014-01-29-09:00:00,1.33333333333333
2013-07-12-11:00:00,2.03333333333333
2013-06-20-14:00:00,2
2013-09-03-15:00:00,2.5
2013-05-31-14:00:00,2
2013-07-12-15:00:00,2.08333333333333
2013-04-13-13:00:00,1
2013-06-26-11:00:00,2
2013-11-27-11:00:00,2
2013-05-30-18:00:00,0.5
2013-05-17-09:00:00,2.16666666666667
2013-07-09-07:00:00,0.216666666666667
2013-10-25-09:00:00,2.76666666666667
2014-01-27-10:00:00,1.61666666666667
2013-08-22-16:00:00,1.41666666666667
2013-08-20-18:00:00,1.75
2013-12-04-14:00:00,2
2013-04-10-08:00:00,1
2014-01-30-10:00:00,1.28333333333333
2013-07-17-10:00:00,3.28333333333333
2014-01-09-08:00:00,0.583333333333333
2013-11-26-09:00:00,2
2014-01-13-11:00:00,0.666666666666667
2013-06-07-09:00:00,2.4
2013-09-16-10:00:00,1
2013-06-03-14:00:00,1.88333333333333
2013-10-02-12:00:00,2.05
2013-07-23-09:00:00,1.51666666666667
2013-09-20-09:00:00,2
2013-07-09-18:00:00,0.266666666666667
2013-07-12-09:00:00,2.13333333333333
2013-12-11-16:00:00,0.5
2013-05-27-21:00:00,0.566666666666667
2013-06-17-18:00:00,0.5
2013-11-27-09:00:00,1
2013-06-26-13:00:00,1.55
2013-08-13-15:00:00,1
2013-06-04-11:00:00,2.16666666666667
2013-10-18-17:00:00,2
2013-10-08-18:00:00,1.11666666666667
2013-10-25-11:00:00,3.21666666666667
2013-05-20-07:00:00,0.0166666666666667
2013-05-01-11:00:00,2.93333333333333
2013-11-11-18:00:00,1.51666666666667
2013-11-26-11:00:00,2
2013-09-20-11:00:00,2.93333333333333
2013-09-16-12:00:00,1.41666666666667
2013-08-14-17:00:00,2.3
2013-10-02-14:00:00,2
2014-01-03-17:00:00,1
2014-01-22-17:00:00,1.68333333333333
2013-06-03-12:00:00,1
2013-10-16-17:00:00,1.25
2013-07-01-17:00:00,2.9
2013-06-26-15:00:00,1.98333333333333
2014-01-14-11:00:00,0.566666666666667
2013-12-24-16:00:00,2
2013-08-30-18:00:00,2.28333333333333
2013-06-04-09:00:00,0.666666666666667
2013-08-13-13:00:00,1.23333333333333
2014-01-27-14:00:00,1.86666666666667
2013-09-27-09:00:00,2
2013-07-11-10:00:00,0.0166666666666667
2013-10-08-16:00:00,1.65
2013-09-17-18:00:00,2.61666666666667
2013-08-09-10:00:00,1.46666666666667
2014-02-12-08:00:00,1.33333333333333
2013-08-16-09:00:00,2.11666666666667
2013-11-26-13:00:00,1.35
2013-04-10-12:00:00,1.61666666666667
2013-04-12-17:00:00,1.36666666666667
2013-10-02-08:00:00,0.816666666666667
2013-11-11-16:00:00,4.63333333333333
2013-05-01-09:00:00,4.93333333333333
2014-01-09-12:00:00,0.416666666666667
2013-11-21-13:00:00,1
2014-01-03-19:00:00,0.333333333333333
2013-05-27-17:00:00,1.51666666666667
2013-07-25-12:00:00,0.466666666666667
2013-09-16-14:00:00,3
2013-07-12-13:00:00,0.866666666666667
2013-10-11-14:00:00,0.783333333333333
2014-01-29-18:00:00,0.566666666666667
2013-09-27-11:00:00,2
2013-08-30-16:00:00,2.01666666666667
2013-06-04-15:00:00,2.93333333333333
