"id","bayid","eventTime","estimatedSpaces"
415,423,2013-12-20 16:00:00,5.53333333333333
416,423,2013-12-20 17:00:00,5.96666666666667
417,424,2014-01-27 08:00:00,12.4
418,424,2014-01-27 09:00:00,12.6
419,425,2013-12-20 16:00:00,11.5333333333333
420,425,2013-12-20 17:00:00,11.7166666666667
421,435,2013-12-20 16:00:00,6.73333333333333
422,435,2013-12-20 17:00:00,6.51666666666667
423,441,2013-05-16 14:00:00,7.08333333333333
424,441,2013-05-16 15:00:00,7.91666666666667
425,443,2013-12-20 16:00:00,14.8666666666667
426,447,2014-01-27 08:00:00,11.45
427,447,2014-01-27 09:00:00,11
428,447,2014-01-27 10:00:00,11
429,447,2014-01-27 11:00:00,11
430,447,2014-01-27 12:00:00,11.55
431,450,2013-05-16 14:00:00,11.05
432,450,2013-05-16 15:00:00,11.95
433,450,2013-12-20 16:00:00,11.6166666666667
434,450,2013-12-20 17:00:00,11
435,450,2013-12-20 18:00:00,11.3833333333333
436,456,2013-12-20 16:00:00,6.5
437,457,2013-05-16 13:00:00,1.9
438,457,2013-05-16 14:00:00,1
439,457,2013-05-16 15:00:00,1.1
440,458,2013-05-16 13:00:00,8.66666666666667
441,458,2013-05-16 14:00:00,7.41666666666667
442,458,2013-05-16 15:00:00,8
443,458,2013-05-16 16:00:00,8
444,458,2013-05-16 17:00:00,8.16666666666667
445,459,2013-05-16 13:00:00,11.9
446,459,2013-05-16 14:00:00,11
447,459,2013-05-16 15:00:00,11
448,459,2013-05-16 16:00:00,11
449,459,2013-05-16 17:00:00,11.1
450,464,2013-05-16 14:00:00,10.0833333333333
451,464,2013-05-16 15:00:00,10
452,464,2013-05-16 16:00:00,10
453,464,2013-05-16 17:00:00,10
454,464,2013-05-16 18:00:00,10.9166666666667
455,465,2013-05-16 13:00:00,5.96666666666667
456,465,2013-05-16 14:00:00,5
457,465,2013-05-16 15:00:00,5.78333333333333
458,465,2014-01-27 08:00:00,5.45
459,465,2014-01-27 09:00:00,5.55
460,469,2013-12-20 16:00:00,2.76666666666667
461,469,2013-12-20 17:00:00,2.23333333333333
462,471,2013-05-16 14:00:00,7.05
463,471,2013-05-16 15:00:00,7
464,471,2013-05-16 16:00:00,7.95
465,471,2013-12-20 17:00:00,7.16666666666667
466,471,2013-12-20 18:00:00,7.83333333333333
467,472,2013-05-16 14:00:00,10.0333333333333
468,472,2013-05-16 15:00:00,10.9666666666667
469,473,2013-12-20 16:00:00,14.6666666666667
470,473,2014-01-27 08:00:00,14.45
471,473,2014-01-27 09:00:00,14
472,473,2014-01-27 10:00:00,14
