"parkingstreetkey","USRN","StreetName","parkingZoneKey"
"6622","8401626","Victoria Arcade","62"
"4485","8401626","Victoria Arcade","62"
"1329","8401627","Watergate Walk","57"
"6644","8401627","Watergate Walk","57"
"4531","8401627","Watergate Walk","57"
"1365","8401628","Westbourne Crescent Mews","50"
"4562","8401628","Westbourne Crescent Mews","16"
"6662","8401628","Westbourne Crescent Mews","16"
"911","8401630","Beverston Mews","51"
"5611","8401630","Beverston Mews","51"
"2684","8401630","Beverston Mews","51"
"2693","8401631","Black Lion Passage","14"
"1100","8401633","Spur Road","71"
"4277","8401633","Spur Road","74"
"423","8401636","Martlett Court","57"
"6243","8401636","Martlett Court","57"
"3757","8401636","Martlett Court","57"
"2094","8401639","Falconberg Court","57"
"3238","8401639","Falconberg Court","57"
"5943","8401639","Falconberg Court","57"
"3291","8401643","George Lowe Court","28"
"1855","8401644","Cubitt's Yard","57"
"5821","8401644","Cubitt's Yard","57"
"3044","8401644","Cubitt's Yard","57"
"6113","8401645","Inigo Place","57"
"2436","8401645","Inigo Place","57"
"3526","8401645","Inigo Place","57"
"2441","8401646","Inverness Terrace","14"
"3531","8401646","Inverness Terrace","14"
"4785","8401646","Inverness Terrace","14"
"339","8401647","Lower Adam Street","57"
"3688","8401647","Lower Adam Street","57"
"6198","8401647","Lower Adam Street","57"
"1845","8401648","Crawford Mews","51"
"3035","8401648","Crawford Mews","51"
"5815","8401648","Crawford Mews","51"
"774","8401649","Princes Place","47"
"4060","8401649","Princes Place","47"
"6388","8401649","Princes Place","47"
"2074","8401650","The Arches","57"
"6583","8401650","The Arches","57"
"4416","8401650","The Arches","57"
"682","8401651","Bennet Street","47"
"2667","8401651","Bennet Street","47"
"5600","8401651","Bennet Street","47"
"1831","8401652","Cranbourn Street","57"
"3024","8401652","Cranbourn Street","57"
"4775","8401652","Cranbourn Street","57"
"228","8401653","Glentworth Street","15"
"2170","8401653","Glentworth Street","15"
"3307","8401653","Glentworth Street","11"
"5270","8401653","Glentworth Street","11"
"5493","8401653","Glentworth Street","11"
"2220","8401654","Great Pulteney Street","57"
"6007","8401654","Great Pulteney Street","57"
"3351","8401654","Great Pulteney Street","57"
"935","8401655","St Barnabas Street","3"
"4286","8401655","St Barnabas Street","3"
"6514","8401655","St Barnabas Street","3"
"4655","8401656","Abbey Gardens Mews","29"
"5518","8401656","Abbey Gardens Mews","29"
"1505","8401657","Broad Court","75"
"2758","8401657","Broad Court","57"
"5653","8401657","Broad Court","57"
"1519","8401658","Admiral Walk","29"
"4677","8401658","Admiral Walk","29"
"5531","8401658","Admiral Walk","29"
"1849","8401659","All Souls Place","52"
"2569","8401659","All Souls Place","52"
"5544","8401659","All Souls Place","52"
"1236","8401660","Adam And Eve Court","75"
"4671","8401660","Adam And Eve Court","52"
"5528","8401660","Adam And Eve Court","52"
"1692","8401661","Aldburgh Mews","52"
"4691","8401661","Aldburgh Mews","52"
"5540","8401661","Aldburgh Mews","52"
"1905","8401662","Ambassadors Court","47"
"2577","8401662","Ambassadors Court","74"
"215","8401663","Ann's Close","3"
"1990","8401663","Ann's Close","3"
"2583","8401663","Ann's Close","3"
"2142","8401664","Artesian Road","13"
"2597","8401664","Artesian Road","13"
"4907","8401664","Artesian Road","13"
"372","8401665","Bathurst Mews","50"
"2641","8401665","Bathurst Mews","50"
"5583","8401665","Bathurst Mews","50"
